0232 02195 1|44659|77996|omega Hya|136.49319291|5.09231801|9|5|58.3662984|+|5.0|5.0|32.344836|5.120|999
0236 01843 1|47960|||146.59837968|1.78558493|9|46|23.6111232|+|1.0|47.0|8.105748|5.681|999
0238 02476 1|47310|||144.61369721|4.64929342|9|38|27.2873304|+|4.0|38.0|57.456312|4.818|999
0241 02399 1|47205|83240|10 Leo|144.30280318|6.83578162|9|37|12.6727632|+|6.0|50.0|8.813832|5.125|999
0242 02192 1|47943|||146.54184958|6.70855461|9|46|10.0438992|+|6.0|42.0|30.796596|5.992|999
0248 01789 1|50027|88547|19 Sex|153.20151778|4.61468019|10|12|48.3642672|+|4.0|36.0|52.848684|5.912|999
0255 01197 1|53423A|94672|55A Leo|163.92664947|0.73693427|10|55|42.3958728|+|0.0|44.0|12.963372|5.984|11
0259 01552 1|51775|91612|48 Leo|158.70005804|6.9537457|10|34|48.0139296|+|6.0|57.0|13.48452|5.174|999
0262 01188 1|54336A|96436|65A Leo|166.72584935|1.95552473|11|6|54.203844|+|1.0|57.0|19.889028|5.647|27
0263 01171 1|55137|98118|75 Leo|169.32249985|2.01055696|11|17|17.399964|+|2.0|0.0|38.005056|5.344|999
0264 01157 1|55650|99055|79 Leo|171.00969423|1.40776211|11|24|2.3266152|+|1.0|24.0|27.943596|5.490|999
0265 01270 1|53807|||165.14019851|3.61749809|11|0|33.6476424|+|3.0|37.0|2.993124|4.968|999
0267 01193 1|55945|99648|tau Leo|171.98433197|2.85626784|11|27|56.2396728|+|2.0|51.0|22.564224|5.053|893
0268 01064 1|53824|||165.18667868|6.10144912|11|0|44.8028832|+|6.0|6.0|5.216832|4.998|999
0268 01067 1|54182|96097|chi Leo|166.2542855|7.33600866|11|5|1.02852|+|7.0|20.0|9.631176|4.660|999
0270 01148 1|55434|98664|sigma Leo|170.28413935|6.02932234|11|21|8.193444|+|6.0|1.0|45.560424|4.031|999
0273 00924 1|57757|102870|beta Vir|177.67382586|1.76471731|11|50|41.7182064|+|1.0|45.0|52.982316|3.649|999
0274 01078 1|56445|100563|89 Leo|173.59145953|3.06016365|11|34|21.9502872|+|3.0|3.0|36.58914|5.809|999
0276 01189 1|58510|104181|7 Vir|179.98713609|3.65519708|11|59|56.9126616|+|3.0|39.0|18.709488|5.345|999
0278 00925 1|57380|102212|nu Vir|176.4648432|6.52938127|11|45|51.562368|+|6.0|31.0|45.772572|4.209|999
0285 01247 1|60172|107328|16 Vir|185.0874191|3.31257122|12|20|20.980584|+|3.0|18.0|45.256392|5.093|999
0286 01022 1|58590|104321|pi Vir|180.21829452|6.61433025|12|0|52.3906848|+|6.0|36.0|51.5889|4.658|999
0287 01009 1|59309|105702|11 Vir|182.51423926|5.80700663|12|10|3.4174224|+|5.0|48.0|25.223868|5.745|999
0289 01219 1|61658|||189.5933548|1.85466173|12|38|22.405152|+|1.0|51.0|16.782228|5.883|999
0294 01032 1|63090|112300|delta Vir|193.90086808|3.39747144|12|55|36.2083392|+|3.0|23.0|50.897184|3.577|999
0296 01051 1|61968|110423|31 Vir|190.487987|6.80661506|12|41|57.11688|+|6.0|48.0|23.814216|5.570|999
0300 01264 1|65198|||200.42352201|2.08724077|13|21|41.6452824|+|2.0|5.0|14.066772|5.693|999
0305 00948 1|64852|115521|sigma Vir|199.40117797|5.46987345|13|17|36.2827128|+|5.0|28.0|11.54442|4.976|999
0306 00269 1|65241|116235|64 Vir|200.54037007|5.15476469|13|22|9.6888168|+|5.0|9.0|17.152884|5.889|999
0309 01396 1|68092|121607|92 Vir|209.11615538|1.05058213|13|56|27.8772912|+|1.0|3.0|2.095668|5.926|999
0310 01430 1|66200|118022|78 Vir|203.53304921|3.65896576|13|34|7.9318104|+|3.0|39.0|32.276736|4.916|999
0311 01612 1|66936A|119425|84A Vir|205.76546637|3.53790026|13|43|3.71192880001|+|3.0|32.0|16.440936|5.554|30
0316 01271 1|68520|122408|tau Vir|210.41163573|1.54453325|14|1|38.7925752|+|1.0|32.0|40.3197|4.250|999
0317 01590 1|69389|||213.06585278|2.40943027|14|12|15.8046672|+|2.0|24.0|33.948972|4.964|999
0318 00767 1|70894|||217.46049517|0.82892821|14|29|50.5188408|+|0.0|49.0|44.141556|5.987|999
0324 01444 1|70400|||216.04726847|5.82013268|14|24|11.3444328|+|5.0|49.0|12.477648|5.112|999
0326 01426 1|72220|130109|109 Vir|221.56218328|1.89288176|14|46|14.9239872|+|1.0|53.0|34.374336|3.716|999
0326 01427 1|72154|129956|108 Vir|221.37585507|0.71727172|14|45|30.2052168|+|0.0|43.0|2.178192|5.663|999
0336 01027 1|74975|136202|5 Ser|229.82832621|1.76540542|15|19|18.7982904|+|1.0|45.0|55.459512|5.118|999
0336 01028 1|75119A|136514|6A Ser|230.25831918|0.7153338|15|21|1.9966032|+|0.0|42.0|55.20168|5.530|33
0336 01029 1|74689|135559|4 Ser|228.95449006|0.37214125|15|15|49.0776144|+|0.0|22.0|19.7085|5.647|999
0337 00843 1|75761|137898|10 Ser|232.15932111|1.84208399|15|28|38.2370664|+|1.0|50.0|31.502364|5.178|999
0338 01145 1|73620|133165|110 Vir|225.72516114|2.09130414|15|2|54.0386736|+|2.0|5.0|28.694904|4.513|999
0344 01146 1|74649AB|135482|3A Ser|228.79730569|4.93936037|15|15|11.3533656|+|4.0|56.0|21.697332|5.457|999
0355 01288 1|77052|140538|psi Ser|236.00757611|2.51516744|15|44|1.8182664|+|2.0|30.0|54.602784|5.945|999
